DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
POLYNOR S.A. INDÚSTRIAS E  COMÉRCIO DE FIBRAS SINTÉTICAS DA PARAÍBA,POLYNOR,PONO,09.126.970/0001-02,11/27/1972,4/4/2005,"Km 04 - Rod. Br 101
; CEP: 58088 - 200
; Jõao Pessoa - PB
; Tel.: (83)221-1330 ","Registro cancelado pela CVM em 22/03/2005, com base na instrução CVM Nº287/98, que dispõe sobre a suspensão e o cancelamento de ofício do registro de Cia Aberta."
PORCELANA SCHIMDT  S.A.,PORC SCHMIDT,SCMI,85.459.691/0001-49,1/3/1972,3/1/1999,"Av. Porcelana,621
; CEP: 83604-480 
; Campo Largo - PR 
; Tel.:  (41)392-3122",Registro cancelado pela BVPR. Não estava admitida a cotação na BOVESPA. 
Prática Participações S/A,PRATICA,PRCA,10.747.021/0001-29,10/9/2015,2/2/2018,"Avenida Doutor João Beraldo, 408; CEP: 37550-000; Pouso Alegre -MG; Tel.: (35) 3449-1200",Em AGE realizada em 31/12/2017 a totalidade dos acionistas aprovou a incorporação da companhia pela Prática Klimaquip Indústria e Comércio S.A. e a sua consequente extinção. 
PRÓ METALURGIA S.A.,PRO METALURG,PMET,56.994.924/0001-05,1/20/1986,8/7/2014,"Rua Alfredo Vieira Arantes, 139 - Sala 11; CEP: 13251-184; Atibaia-SP; Tel.: (11) 4487-7048",Solicitação da empresa devido ao processo de liquidação extrajudicial.  
PROMOAUTO PARTICIPAÇÕES S.A.,PROMOAUTO,GMSA,01.394.549/0001-70,12/12/1996,1/23/2003,"Av. Eurico Ambrogi Santos,2100 - 
1ºandar
; CEP: 12042 - 010
; Taubaté - SP
; Tel.(12)3627-6040
",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
PRONOR PETROQUIMICA S.A.,PRONOR,PNOR,13.552.070/0001-02,5/12/1989,17/05/2011,"Quadra 03 do SESFI,  ; CEP:41780-000; Simões Filho - BA; Tel.:(71) 2102-3402",Cancelou registro de Cia. Aberta.
PRUMO LOGÍSTICA S.A.,PRUMO,PRML,08.741.499/0001-08,6/12/2008,5/4/2018,"Rua do Russel, 804 - 5º andar; CEP: 22210-010; Rio de Janeiro-RJ; Tel.: (21) 3725-8000",Cancelou registro de cia aberta.
QUATTOR PETROQUIMICA S.A.,QUATTOR PETR,SZPQ,04.705.090/0001-77,25/03/2002,2/9/2011,"Rua Joaquim Floriano, 960 - 4º andar; CEP:04534-004; São Paulo - SP; Tel.:(11)3707-5993","Incorporada pela Braskem S.A. Para  cada ação ordinária ou preferencial da Quattor os acionistas receberam 0,300571316385725 ação preferencial classe “A” de emissão da Braskem S.A."
RAIA S.A.,RAIA,RAIA,60.605.664/0001-06,16/12/2010,14/02/2012,"Praça Panamericana, 57 ; CEP:05461-000; São Paulo - SP; Tel.:(11) 3165-7800","Incorporada pela Drogasil S.A. Para cada ação ON de emissão da Raia, os acionistas receberam 2,29083790 ações ON de emissão da Drogasil."
RAIL-SUL S.A.,RAIL SUL ,RASL,01.529.589/0001-82,30/07/1997,27/03/2006,"Av. Brig. Faria Lima, 1306 ; CEP:01452-906; São Paulo - SP; Tel.:(11)3030-3719",Incorporada pela CSU Cardsystem S.A. 
RASIP AGRO PASTORIL S.A.,RASIP AGRO ,RSIP,94.789.468/0001-50,5/27/1999,7/18/2013,Estrada Federal BR 116 - km 33;CEP: 95200-000;Vacária - RS ; Tel.: (54) 3231-4700,"Cancelou registro de cia aberta. A acionista Dramd Participações e Administração Ltda. realizou OPA na BMFBOVESPA em 17/06/2013 ao preço de R$ 0,44/ação. "
REAL CONSÓRCIO PARTICIPAÇÕES S.A.,REAL CONS PA,RCPR,02.670.203/0001-10,12/9/1998,4/19/2002,"Av. Paulista,1374 - 
3ºandar
; CEP: 01310 - 916
; São Paulo - SP 
; Tel.: (11)3174-9601","Incorporada pela Konney Participações S.A. Cada 10.063,50069 ações correspondeu a ação da Konney Participações S.A. "
REAL HOLDINGS PARTICIPAÇÕES S.A.,REAL HLD PAR,RHPR,02.670.204/0001-65,12/3/1998,4/19/2002,"Av. Paulista,1374 - 
3ºandar
; CEP: 01310 - 916
; São Paulo - SP 
; Tel.: (11)3174-9601
","Incorporada pela Konney Participações S.A. Cada 1.633,51983 ações correspondeu a ação da Konney Participações S.A. "
REALCAFÉ SOLÚVEL DO BRASIL S.A.,REALCAFE,RECF,28.154.847/0001-40,4/28/1972,4/20/2000,"Rod. Br 101 - Km 07
; CEP: 29135 - 000
; Viana - ES
; Tel.: (11)346-1500","Cancelou registro de Cia Aberta . O acionista controlador, Tristão Comercial e Participações S.A. realizou OPA na BOVESPA em 03/03/2000 ao preço de R$ 30,14 /ação."
REALPAR PARTICIPAÇÕES S.A.,REALPAR,RPPR,02.670.205/0001-00,12/9/1998,4/19/2002,"Av. Paulista,1374 - 
3ºandar
; CEP: 01310 - 916
; São Paulo - SP 
; Tel.: (11)3174-9601","Incorporada pela Konney Participações S.A. Cada 403,74009 ações correspondeu a ação da Konney Participações S.A. "
REC 844 EMPREENDIMENTOS E PARTICIPACOES S.A.,BRPR 44 SEC ,WTCJ,06.349.242/0001-71,10/10/2005,2/12/2016,"AV Presidente Juscelino Kubitschek, 510, 6º. andar - cj. 61 e 62; CEP: 04543-000; São Paulo-SP; Tel.: (11) 3500-3700",Cancelou registro de cia. aberta.
REC SAO BERNARDO S.A.,BRPR 46 SEC ,WTNS,04.370.450/0001-27,12/30/2002,4/19/2017,"Avenida Presidente Juscelino Kubitschek, 510 - 6º andar/Cj 61/62; CEP: 04543-906; São Paulo-SP; Tel.: (11) 3500-3700",Cancelou registro de cia. aberta.
REDECARD S.A.,REDECARD,RDCD,01.425.787/0001-04,7/11/2007,10/19/2012,"Av. Marcos Penteado de Ulhoa Rodrigues, 939 LJ 1 / 12º andar; CEP: 06460-040; Barueri - SP; Tel.: (11) 2121-1004","Cancelou o registro de Cia Aberta. O acionista controlador Itaú Unibanco Holding S.A realizou OPA na BM&FBOVESPA em 24/09/2012, ao preço de R$ 35,00/ação."
REDENTOR ENERGIA S.A.,REDENTOR ,RDTR,12.126.500/0001-53,8/6/2010,1/27/2016,"Avenida Barbacena, 1200-19 B1 - Sala 02; CEP: 30190-924; Belo Horizonte-MG; Tel: (31) 3506-5024","Cancelou registro de cia aberta. A Parati S.A. - Participações em Ativos de Energia Elétrica . realizou OPA na BMFBOVESPA em 18/12/2015, ao preço de R$ 6,47/ação."
REFINARIA DE PETRÓLEO IPIRANGA S.A.,IPIRANGA REF,RIPI,94.845.674/0001-30,1/3/1972,21/07/2008,"Rua Engenheiro Heitor Amaro Barcellos, 551 ; CEP:96202-900; Rio Grande  - RS; Tel.:(53)3233-8001","Incorporada pela Ultrapar Participações S.A. Cada uma ação ON ou PN foi substituída por 0,79850 ação PN da Ultrapar Participações S.A."
RENNER HERRMANN S.A.,REN HERMANN,RHER,92.690.700/0001-73,5/15/1971,8/15/2002,"Av. Assis Brasil,3966
; CEP: 91010 - 003
; Porto Alegre - RS
; Tel.: (51)3349-1011","Cancelou registro de Cia Aberta . O acionista controlador, SPE Participações Ltda. (controlada por H. Herrmann Participações e Com. Ltda., MFM Partic.e Comércio Ltda., Petra Participações Ltda., Moinhos de Vento Empreend. e Participações Ltda.) realizou  OPA na BOVESPA em 29/07/2002 ao preço de R$ 0,71 /ação."
RENNER PARTICIPAÇÕES S.A.,RENNER PART,RNPT,02.659.727/0001-00,15/09/1998,21/07/2009,"Rua Mal. Floriano Peixoto, 185 - 6º andar; CEP:90020-061; Porto Alegre - RS; Tel.:(51)3287-3300","Cancelou registro de Cia. Aberta. A acionista controladora A.J. Renner S.A. Indústria e Participações, realizou OPA na BMFBOVESPA em 07/07/2009 ao preço de R$ 30,00 /ação."
REXAM BEVERAGE CAN SOUTH AMÉRICA S.A.,REXAM BCSA,LATS,29.506.474/0001-91,5/14/1997,5/24/2004,"Av. Almirante Barroso,52 - 11ºandar
; CEP: 20031 - 000
; Rio de Janeiro - RJ
; Tel.: (21)3231-3305","Cancelou registro de Cia Aberta . O acionista controlador, Rexam do Brasil Ltda. realizou OPA na BOVESPA em 14/05/2004, ao preço de R$ 17,43932 /ação (preço inicial da opção por alienação de controle) ou R$ 20,90 /ação (opção para o cancelamento de registro). "
RICASA ROLÃNDIA INDÚSTRIA COM. AGRÍCOLA S.A.,RICASA,RICA,80.902.018/0001-18,1/3/1972,3/1/1999,"Rod. Br 369 Km 158
; CEP: 86180-970
; Cambe - PR 
; Tel.:  (43)253-1249",Registro cancelado pela BVPR. A BOVESPA cancelou autorização em 22/10/1998.
RIMET EMPREENDIMENTOS INDUSTRIAIS E COMERCIAIS S.A. ,RIMET,REEM,29.338.352/0001-48,6/12/1986,10/31/2012,Rodovia Presidente Dutra - KM 298; CEP: 27537-000; Resende-RJ; Tel.: (24) 3383-7396,"Cancelou o registro de Cia Aberta. O acionista controlador Companhia Brasileira de Latas realizou OPA na BM&FBOVESPA em 16/10/2012, ao preço de R$ 4,63/mil ações."
RIO GRANDE ENERGIA S.A.,RIO GDE ENER,RGEG ,02.016.439/0001-38,9/15/1998,1/28/2019,"Rua Mário de Boni, 1902; Cep: 3756-6083; Caxias do Sul - RS; Tel.(19) 3756-6083","Cancelou registro de cia aberta. Na AGE de 31/12/2018 foi aprovada a incorporação da Rio Grande Energia S.A. pela RGE Sul Distribuidora de Energia S.A., com sua consequente extinção. "
RIPASA S.A. CELULOSE E PAPEL ,RIPASA,RPSA,51.468.791/0001-10,10/8/1984,9/4/2006,"Rua Clodomiro Amazonas, 249 - 10º andar; CEP:04537-010; São Paulo - SP; Tel.:(11)3491-5385","Incorporada pela Ripasa Participações S.A. Cada ação foi substituída por 8,693318290 ações da Ripasa Participações S.A., respeitadas as espécies. "
RJ CAPITAL PARTNERS S.A.,RJCP ,RJCP,08.281.683/0001-04,1/13/2011,3/6/2017,"Avenida Embaixador Abelardo Bueno, 1 / Edifício Boulevard - Sala 213; CEP: 22775-039; Rio de Janeiro-RJ; Tel.; (21) 3178-7300","Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
RUMO LOGISTICA OPERADORA MULTIMODAL S.A.,RUMO LOG ,RUMO,71.550.388/0001-42,8/7/2014,4/12/2017,"Avenida Presidente Juscelino Kubitschek, 1327, 2º andar; CEP: 04543-011; São Paulo - SP; Tel: (11) 3897-9797",Incorporada pela Rumo S.A. Cada ação ON da companhia foi substituída por 1 (uma) ação da Rumo S.A.
S.A. (VIAÇÃO AEREA-RIOGRANDENSE),SAVARG,VAGV,92.772.821/0001-64,8/3/1971,1/5/2011,"Estrada do Galeão , 3200 ; CEP:21941-352; Ilha do Governador - RJ; Tel.:(21)3717-0355",Falta de atualização do registro perante a BMFBOVESPA.
S.A. FÁBRICA DE PRODUTOS ALIMENTICIOS VIGOR,VIGOR,VGOR,61.116.331/0001-86,27/08/1984,26/02/2009,"Rua Joaquim Carlos, 396 ; CEP:03019-900; São Paulo - SP; Tel.:(11)6099-5500","Cancelou registro de Cia Aberta. A acionista controladora, Bertin S.A. realizou OPA na BMFBOVESPA em 10/02/2009 ao preço de R$ 5,85 /ação."
S.A. INDÚSTRIA E COMÉRCIO CHAPECÓ,CHAPECO,CHAP,83.296.889/0001-23,1/7/1980,21/07/2005,"Rua Barão do Rio Branco, 1270-E / Sala 03
; CEP: 89802 - 900
; Chapecó - SC
; Tel.: (49)321-2011
","Falência decretada em 29/04/2005, pela 3ª Vara Cível de Chapecó-SC."
S.A. MINERAÇÃO DA TRINDADE SAMITRI,SAMITRI,SAMI,17.179.391/0001-56,1/3/1972,17/10/2000,"Av. Carandai,1115 - 
13ºandar
; CEP: 30130 - 915
; Belo Horizonte - MG
; Tel.: (31)219-1122","Cancelou registro de Cia Aberta . A acionista controladora, Companhia Vale do Rio Doce realizou OPA na BOVESPA em 22/09/2000 ao preço de R$ 70,42 /mil ações."
S.A. WHITE MARTINS ,WHIT MARTINS,WHMT,33.000.571/0001-85,1/9/1961,29/05/2000,"Rua Mayrink Veiga,9 - 27ºandar / Parte
; CEP: 20090 - 050
; Rio de Janeiro - RJ
; Tel.: (21)588-6193 ","Cancelou registro de Cia Aberta . O acionista controlador, Praxair Comércio e Participações Ltda. realizou OPA na BOVESPA em 03/05/2000 ao preço de R$ 1,31 /ação.
 "
SADIA S.A.,SADIA ,SOES,03.906.591/0001-59,4/15/1982,5/30/2001,"Rua Senador Attílio Fontana,86
; CEP: 89700 - 000
; Concórdia - SC
; Tel.: (49)444-3000","Incorporada pela Sadia S.A. ( Código Sdia - atual denominação social da Sadia Alimentos S.A.). Cada ação foi substituída por uma ação da Sadia Alimentos, observada a espécie."
SADIA S.A.,SADIA S/A,SDIA,20.730.099/0001-94,27/12/2000,11/5/2009,"Rua Senador Attilio Fontana, 86 ; CEP:89700-000; Concordia - SC; Tel.:(49)3301-3000","Incorporada pela BRF - Brasil Foods S.A. ( atual denominação social da Perdigão S.A.). Para cada ação foi atribuída 0,132998 ação ON da BRF - Brasil Foods S.A."
SADOKIN S.A. ELÉTRICA E ELETRÔNICA,SADOKIN,SDOK,49.039.936/0001-15,9/23/1973,1/13/1999,"Av. Chiyo Yamamoto,353  Bl. A
; CEP: 07176-900
; Guarulhos - SP 
; Tel.:  (11)6436-2233","Cancelou registro de Cia Aberta. O acionista controlador, Tatsuto Oishi realizou OPA na BVRJ em 13/11/1998 ao preço de R$ 60,71 /mil ações."
SAINT-GOBAIN CANALIZAÇÃO S.A.,SGOBAINCANAL,BARB,28.672.087/0001-62,1/2/1971,6/4/2001,"Via Dr. Sérgio Braga,452
; CEP: 27330 - 050
; Barra Mansa - RJ 
; Tel.: (24)3325-5100","Cancelou registro de Cia Aberta . O acionista controlador, Saint-Gobain Pam realizou OPA na BOVESPA em 09/05/2001 ao preço de R$ 2,96 /mil ações."
SAINT-GOBAIN VIDROS S.A.,SGOBAINVIDRO,VSMA,60.853.942/0001-44,7/3/1946,6/4/2001,"Av. Santa Marina,482
; CEP: 05036 - 903
; São Paulo - SP 
; Tel.: (11)3874-7489 ","Cancelou registro de Cia Aberta. A acionista controladora, Compagnie de Saint-Gobain realizou OPA na BOVESPA em 09/05/2001 ao preço de R$ 3,63 /ação."
SAM INDUSTRIAS S.A.,SAM INDUSTR ,FCAP,33.017.039/0001-70,8/18/1986,8/26/2013,"RJ 115 - Rod Nova Iguaçu - Adrianópolis, KM 05 ; CEP: 26041-521; Nova Iguaçu - RJ; Tel.: (21) 2667-4596","Cancelou registro de cia. Aberta, em virtude da decretação de sua falência."
SANO S.A. INDÚSTRIA E COMÉRCIO,SANO,SANO,33.033.960/0001-07,5/15/1972,7/10/2002,"Rod. Nova Iguaçú - Adrianopólis,2446/Parte
; CEP: 26000 - 000
; Nova Iguaçu - RJ
; Tel.: (21)2666-4545",Falência decretada em 18/04/2002 na 6ª Vara da Comarca de Nova Iguaçu.
SANTISTA ALIMENTOS S.A.,SANTISTA ALM,MFLU,33.009.960/0001-71,4/20/1971,12/8/2000,"Av. Dracena,818 
; CEP: 05329 - 000
; Jaguaré - SP 
; Tel.: (11)3718-4027","Incorporada pela Ceval Alimentos S.A. (atual Bunge Alimentos S.A.). Cada ação foi substituída por 60,272805% ações ON da Ceval Alimentos S.A., independente da espécie."
SANTISTA TÊXTIL S.A.,SANTISTEXTIL,ASTA,15.082.688/0001-73,28/07/1994,12/4/2007,"Av. Maria Coelho Aguiar,, 215 - Bl. A - 2º andar; CEP:05804-900; São Paulo - SP; Tel.:(11)3748-0024","Cancelou registro de Cia. Aberta. A acionista controladora Tavex Algodonera S.A., realizou OPA na BOVESPA em 22/11/2007 ao preço de R$ 25,10 /ação, atualizado pela TR mais 6% a.a. calculada pró rata-temporis desde 02/07/2007 até 27/11/2007. "
SÃO PAULO WELLNESS S.A.,SP WELLNESS,SPWE,04.106.907/0001-90 ,11/14/2001,4/14/2004,"Al.Madeira,222 - 14ºandar / Sala 05
; CEP: 06454 - 010
; BArueri - SP 
; Tel.: (11)4195-5117 ",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
SATMA - SUL AMÉRICA  PARTICIPAÇÕES S.A. ,SATMA,TESE,33.429.226/0001-61,6/16/1983,4/8/1999,"Rua da Quitanda,86/605 - 5ºandar
; CEP: 20091 - 000
; Rio de Janeiro - RJ 
; Tel.:  (21)276-8585","Cancelou registro de Cia Aberta. O acionista controlador, Sul América S.A. realizou OPA na BVRJ em 22/03/1999 ao preço de R$ 1,10 /ação. "
SAUIPE S.A,SAUIPE ,PSEG,00.866.577/0001-80,1/15/1998,3/7/2018,Rodovia BA 099 - km 76/ Linha Verde;CEP: 48280-000; Mata de São João - BA; Tel.:( 71) 2104-8482,Cancelou registro de cia. aberta.
SEARA ALIMENTOS S.A.,SEARA ALM,SALM,02.914.460/0001-50,3/11/1999,4/13/2005,"Rua Blumenau,558
; CEP: 88305 - 100
; Itajái - SC 
; Tel.: (47)344-7854 ","Cancelou registro de Cia Aberta . O acionista controlador, Cargill Agrícola S.A. realizou OPA na BOVESPA em 23/03/2005 ao preço de R$ 5,98964 /mil ações, a ser atualizado pela TR acrescida de 6% (base 360 dias) pró rata-temporis, desde 24/02/2005 inclusive até a data da efetiva liquidação da oferta."
SEHBE CIA DE PARTICIPAÇÕES ,SEHBE PART,SHPA,88.615.315/0001-94,7/10/1986,2/19/1999,"Rua Marechal Floriano,889
; CEP: 95020-370
; Caxias do Sul - RS
; Tel.:  (54)221-8055",Registro cancelado pela BVES. A BOVESPA cancelou autorização para negociação em 09/02/1999.
SEHBE S.A. HOTÉIS E TURISMO,SEHBE,SEHB,88.658.752/0001-95,4/16/1973,2/19/1999,"Rua Sinimbu,2302
; CEP: 95020-005
; Caxias do Sul - RS
; Tel.: (54)221-8655",Registro cancelado pela BVES. Não estava admitida à cotação na BOVESPA.
SEMP TOSHIBA S.A.,SEMP,SEMP,61.151.445/0001-67,9/2/1971,14/11/2008,"Av. João Dias, 2476 ; CEP:04724-003; São Paulo - SP; Tel.:(11)5645-2100","Cancelou registro de Cia Aberta. A acionista controladora Semp Toshiba Amazonas S.A. realizou OPA na BOVESPA em 04/11/2008 ao preço de R$ 16,70 /ação."
SERGEN SERVICOS GERAIS DE ENGENHARIA S.A.,SERGEN ,SGEN,33.161.340/0001-53,5/10/1983,7/31/2014,"Rua Visconde de Inhauma,50 - 10º andar; CEP: 20091-007; Rio de Janeiro - RJ; Tel.: (21) 3981-2102",Cancelou registro de cia. aberta.
SFSPV - EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,SFSPV EMPR,SFSP,02.220.855/0001-53,10/2/1998,7/27/1999,"Av. Pedroso de Moraes,433 - 16ºandar / Cj.121
; CEP: 05419-000
; São Paulo - SP 
; Tel.: (11)870-0888",Cancelou registro de Cia Aberta. Passando para sociedade por quotas de responsabilidade limitada.
SHARP S.A. EQUIP. ELETRÔNICOS,SHARP,SHAP,62.607.502/0001-32,5/16/1973,5/10/2002,"Al. Rio Claro,341 - 
14ºandar
; CEP: 01332 - 010
; São Paulo - SP
; Tel.: (11)3269-0700",Falta de atualização do registro perante a BOVESPA.
SHOPTIME S.A.,SHOPTIME,SHTM,01.104.894/0001-22,26/04/1996,21/12/2005,"Av. Embaixador Abelardo Bueno, 2001 Bl. 03 ; CEP:22775-040; Rio de Janeiro - RJ; Tel.:(21)3311-4034",Cancelou registro de Cia Aberta. Aprovado por 100% dos acionistas. 
SIBRA ELETROSIDERÚRGICA BRASILEIRA S.A.,SIBRA,SIBR,15.144.306/0001-99,12/15/1988,4/1/2002,"Br 324 Km 24 - Centro Indl. Aratu
; CEP: 43700 - 000
; Simões Filho - BA 
; Tel.: (71)3396-8200","Cancelou registro de Cia Aberta . A acionista controladora, Companhia Vale do Rio Doce realizou OPA na BOVESPA em 15/02/2002 ao preço de R$ 5,26 /ação."
SIFCO S.A.,SIFCO,SIFC,60.499.605/0001-09,7/16/1970,3/17/2004,"Av. São Paulo,479
; CEP: 13202 - 610
; Jundiaí - SP 
; Tel.: (11)4588-1529","Cancelou registro de Cia Aberta, mediante procedimento diferenciado para OPA intermediada pelo Banco Itaú no período de 31/01 A 01/03/2004."
SMILES S.A.,SMILES,SMLE,15.912.764/0001-20,4/25/2013,10/31/2017,"Alameda Rio Negro, 585 - 2º andar / Bloco B; Barueri - SP; CEP: 06454-000; Tel.; (11) 4871-2012",Incorporada pela Smiles Fidelidade S.A.
SOBRAL INVICTA S.A.,INVICTA,IVCT,60.594.538/0001-01 ,6/21/1989,6/4/2001,"Rua Cajuru,681
; CEP: 03057 - 000
; São Paulo - SP
; Tel.: (11)6695-1000","Cancelou registro de Cia Aberta . O acionista controlador, JF Sobral Participações S.A. realizou  OPA na BOVESPA em 25/04/2001 ao preço de R$ 3,92 /mil."
SOLA S.A. INDÚSTRIAS ALIMENTÍCIAS,SOLA,SLAL,32.286.411/0001-81 ,1/10/1995,10/16/2002,"Av. Zoello Sola,1119 
; CEP: 25820 - 180
; Três Rios - RJ 
; Tel.: (24)2255-4112",Falta de atualização do registro perante a BOVESPA.
SOLAE DO BRASIL HOLDINGS S.A.,SOLAE,SLAE,05.615.334/0001-93,7/15/2003,11/20/2003,"Av. Maria Coelho Aguiar, 215 - 5ºandar / Bl.D
; CEP: 05804 - 900
; São Paulo - SP 
; Tel.: (11)3741-5528","Cancelou registro de Cia Aberta . O acionista controlador, Solae LLC realizou OPA na BOVESPA em 04/11/2003 ao preço de R$ 0,98 /ação."
SOLE DO BRASIL S.A. TELECOMUNICAÇÕES  E COMÉRCIO,SOLE COMEX,SLBR,01.368.194/0001-45,26/03/1997,12/1/2006,"Rua Jorge Rizzo, 89 ; CEP:05424-060; São Paulo - SP; Tel.:(11)3037-9607",Falta de atualização de registro perante a BOVESPA.
SOLVAY INDUPA S.A.I.C.,SOLVAYINDUPA,SOLV ,05.711.813/0001-03,4/3/2009,7/13/2016,"Avenida Alicia Moreau de Justo, 1930 - 4º andar; Buenos Aires - Argentina; Tel.: 54 (11) 4316-2393",Programa de BDR´S cancelado pela CVM. 
SOMOS EDUCAÇÃO S.A,SOMOS EDUCA,SEDU,02.541.982/0001-54,7/22/2011,5/22/2019,"Avenida das Nações Unidas, 7221 - 1º andar; CEP: 05425-902; São Paulo - SP; Tel.: (11) 4383-8257","Cancelou registro de cia aberta. A Saber Serviços Educacionais S.A.L . realizou OPA na B3 em 07/05/2019 ao preço de R$ 24,55 /ação. "
SOUTO VIDIGAL S.A. ,SOUTO VIDIG,PVLT,60.688.256/0001-65 ,11/13/1969,3/17/2004,"Rua Carlos Weber,87
; CEP: 5303 - 000
; São Paulo - SP 
; Tel.: (11)3833-0516
","Cancelou registro de Cia Aberta .O acionista controlador, G.E. Bê Vidigal S.A. realizou OPA na BOVESPA em 04/03/2004 ao preço de R$ 750,00 /mil ações."
SOUZA CRUZ S.A.,SOUZA CRUZ ,CRUZ,33.009.911/0001-39,7/11/1957,12/11/2015,"Rua Candelária, 66 - Sala 101 a 1201; Cep: 20091-900; Rio de Janeiro-RJ; Tel.: (21) 3849-9160","Cancelou registro de cia aberta. A British American Tobacco Americas Prestação de Serviços Ltda.realizou OPA na BMFBOVESPA em 15/10/2015 ao preço de R$ 27,20 /ação. "
SPEL - EMPREENDS. E PARTICIPAÇÕES S.A.,SPEL EMPREEN,SPEL,02.250.726/0001-08,10/2/1998,31/01/2006,"Rua Pamplona, 818 Cjto. 92; CEP:01405-001; São Paulo - SP; Tel.:(11)3049-5555","Incorporada pela Gafisa S.A.  Cada ação foi substituída por 32,24 ações  ON da Gafisa S.A., independente da espécie. "
SPLICE DO BRASIL  TELEC. E ELETRÔNICA S.A. ,SPLICE,SPLC,45.397.007/0001-27,3/6/1998,1/10/2001,"Av. Juscelino Kubitschek de Oliveira,154
; CEP: 18110 - 000
; Votorantim - SP
; Tel.: (11)243-1316",Mudou registro para Balcão Organizado.
SPSCS INDUSTRIAL S.A.,SPSCS INDL,BFCV,59.290.239/0001-96 ,10/4/1972,5/14/2003,"Rua José Antônio Valadares,285
; CEP: 04185 - 020
; São Paulo - SP 
; Tel.: (11)4229-2323",Falta de atualização de registro perante a BOVESPA.
SUBESTACAO ELETROMETRO S.A.,SUBESTACAO ,ELMT,02.286.509/0001-78,12/28/2007,3/13/2015,"Praia de Botafogo, 228 - 404/ parte; CEP: 22250-040; Rio de Janeiro-RJ; Tel.: (21) 3237-2100",Cancelou registro de cia. aberta.
SUBMARINO S.A.,SUBMARINO,SUBA,02.930.076/0001-41,29/03/2005,13/08/2007,"Rua Henry Ford, 643 ; CEP:06210-108; Osasco - SP; Tel.:(11)2189-1669","Constituição da B2W Companhia Global do Varejo através da fusão da Submarino S.A. e Americanas.com S.A. Cada ação ordinária da Submarino, existente até a data da constituição  foi substituída por uma ação ordinária de B2W Companhia Global do Varejo e uma ação  preferencial resgatável da B2W Companhia Global do Varejo, as ações preferenciais foram resgatadas em 30/01/2007 de forma individualizada a cada acionista, com base na posição acionária da Submarino em 16/01/2007, no valor de R$ 8,324940245 /ação preferencial de emissão da B2W Companhia Global do Varejo.
Em 31/03/2007 foi aprovada a incorparação da B2W - Companhia Global do Varejo por sua subsidiária integral TV Sky Shop S.A., com a consequente extinção da B2W - Companhia Global do Varejo. Após a incorporação a TV Sky Shop S.A. passou a ser denominada B2W - Companhia Global do Varejo.
"
SUL AMÉRICA CAPITALIZAÇÃO S.A.,SULACAP,CLCP,33.040.924/0001-70,11/19/1999,9/26/2005,"Av. Presidente Vargas,409  - 16ºandar
; CEP: 20071 - 003
; Rio de Janeiro - RJ
; Tel.: (21)3213-6340",Incorporada pela Satpar Capitalização S.A. ( atual denominação social da Satpar Participações S.A.). Cada ação foi substituída por uma ação ON da Satpar Capitalização S.A.
SUL AMÉRICA CIA NACIONAL DE SEGUROS,SUL AMER NAC,SASG,33.041.062/0001-09,7/8/1983,13/05/2008,"Rua da Quitanda, 86 - 6º andar / Sala 605; CEP:20091-000; Rio de Janeiro - RJ; Tel.:(21)2506-8181","Cancelou registro de Cia Aberta. O acionista controlador, Saepar Serviços e Participações S.A. realizou OPA na BOVESPA em 29/04/2008 ao preço de R$ 1,02 /ação. "
SUL LOGÍSTICA S.A.,SUL LOGISTIC,SLOG,01.585.482/0001-51,10/2/1997,12/13/1999,"Av. Rio Branco,138  - 16ºandar / Parte
; CEP: 20057-900
; Rio de Janeiro - RJ
; Tel.: (21)508-4083",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BOVESPA.
T4F ENTRETENIMENTO S.A.,TIME FOR FUN,SHOW,02.860.694/0001-62,2/11/2008,23/01/2009,"Rua Bento Branco de Andrade Filho, 400 ; CEP:04757-000; São Paulo - SP; Tel.:(11)4505-2619",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
TAM TRANSPORTES AÉREOS REGIONAIS S.A.,TAM,TAMR,47.893.664/0001-90,7/25/1986,5/29/2001,"Av. Jurandir,856 - 1ºandar / Lote 4 
; CEP: 04072 - 000
; São Paulo - SP 
; Tel.: (11)5582-8632","Incorporada pela Tam - Linha Aéreas S.A. Cada ação foi substituída por 0,20310 ação da Tam Linhas Aéreas, observada a espécie."
TARPON INVESTIMENTOS S.A.,TARPON INV ,TRPN,05.341.549/0001-63,5/21/2009,8/2/2019,"Rua Iguatemi, 151 - 23. andar; CEP: 01451-011; SÃO PAULO - SP; Tel. :(11) 3074-5800","Cancelou registro de cia aberta. A Mangue Participações Ltda. realizou OPA na B3 em 18/06/2019 ao preço de R$ 0,35 /ação. "
